Discogs_Artists,Discogs_Titles,Discogs_Labels,Discogs_Tags,Discogs_Countries,Discogs_Years,Discogs_Search_Filters,Discogs_Urls,Discogs_Formats,Discogs_Tracklist,Discogs_YouTube_Videos
Prurient,"Wrapped In The Flame Of Illusion, Masked In The Clay Of Behavior",,,,,"style_exact, Ambient",https://discogs.com/release/29121031-Prurient-Wrapped-In-The-Flame-Of-Illusion-Masked-In-The-Clay-Of-Behavior,,,
Mahti,Musiikki 2,,,,,"style_exact, Ambient",https://discogs.com/release/29173840-Mahti-Musiikki-2,,,
Sylvia Monnier,Fariboles,,,,,"style_exact, Ambient",https://discogs.com/release/29167378-Sylvia-Monnier-Fariboles,,,
Chuck Van Zyl,Stars Landing 4 December 2022,,,,,"style_exact, Ambient",https://discogs.com/release/29146111-Chuck-Van-Zyl-Stars-Landing-4-December-2022,,,
Various,Tranceformed From Beyond,,,,,"style_exact, Ambient",https://discogs.com/release/29143573-Various-Tranceformed-From-Beyond,,,
Kevin Drumm,Imperial Distortion,,,,,"style_exact, Ambient",https://discogs.com/release/29139262-Kevin-Drumm-Imperial-Distortion,,,
Stave / Karkossyn,New Values,,,,,"style_exact, Ambient",https://discogs.com/release/29125507-Stave-Karkossyn-New-Values,,,
Ashra,@shra,,,,,"style_exact, Ambient",https://discogs.com/release/29122732-Ashra-shra,,,
Exchange ,Into The Night,,,,,"style_exact, Ambient",https://discogs.com/release/29110531-Exchange-Into-The-Night,,,
Polaroid Notes,Nothing Left But Memories,,,,,"style_exact, Ambient",https://discogs.com/release/29086876-Polaroid-Notes-Nothing-Left-But-Memories,,,
Virtual Debris,Beyond,,,,,"style_exact, Ambient",https://discogs.com/release/29085373-Virtual-Debris-Beyond,,,
Pansophia,Thee Path Within,,,,,"style_exact, Ambient",https://discogs.com/release/29082373-Pansophia-Thee-Path-Within,,,
Daryl Groetsch,Gardens In Glass,,,,,"style_exact, Ambient",https://discogs.com/release/29074435-Daryl-Groetsch-Gardens-In-Glass,,,
Steve Hillage,Fish Rising,,,,,"style_exact, Ambient",https://discogs.com/release/29001319-Steve-Hillage-Fish-Rising,,,
Piiptsjilling,Slieperswaar,,,,,"style_exact, Ambient",https://discogs.com/release/29189764-Piiptsjilling-Slieperswaar,,,
Various,Starseed,,,,,"style_exact, Ambient",https://discogs.com/release/29179513-Various-Starseed,,,
Mosaic ,Heimatweisen,,,,,"style_exact, Ambient",https://discogs.com/release/29070559-Mosaic-Heimatweisen,,,
Various,Discovery 1,,,,,"style_exact, Ambient",https://discogs.com/release/29222422-Various-Discovery-1,,,
Various,Invisible Manuscript Of Force,,,,,"style_exact, Ambient",https://discogs.com/release/29154088-Various-Invisible-Manuscript-Of-Force,,,
Apta,Submerge,,,,,"style_exact, Ambient",https://discogs.com/release/28970386-Apta-Submerge,,,
Aube,Sensory Symphonies,,,,,"style_exact, Ambient",https://discogs.com/release/29231569-Aube-Sensory-Symphonies,,,
Aidan Baker,Live At Lab.30,,,,,"style_exact, Ambient",https://discogs.com/release/29224759-Aidan-Baker-Live-At-Lab30,,,
Björk,Vespertine,,,,,"style_exact, Ambient",https://discogs.com/release/29162152-Bj%C3%B6rk-Vespertine,,,
Coil,Musick To Play In The Dark,,,,,"style_exact, Ambient",https://discogs.com/release/28999822-Coil-Musick-To-Play-In-The-Dark,,,
Skrika,Vyeltyra Vortex,,,,,"style_exact, Ambient",https://discogs.com/release/29124073-Skrika-Vyeltyra-Vortex,,,
Various,Chronicles Of The Tidal Charm: Vol 2,,,,,"style_exact, Ambient",https://discogs.com/release/29068090-Various-Chronicles-Of-The-Tidal-Charm-Vol-2,,,
Mourning Souls,Amb13nt3 Unkn0wn,,,,,"style_exact, Ambient",https://discogs.com/release/29181700-Mourning-Souls-Amb13nt3-Unkn0wn,,,
Seikkailija,Seikkailu,,,,,"style_exact, Ambient",https://discogs.com/release/29167003-Seikkailija-Seikkailu,,,
Baldruin,Unterholz,,,,,"style_exact, Ambient",https://discogs.com/release/29138419-Baldruin-Unterholz,,,
Various,Music For Haunted Asylums,,,,,"style_exact, Ambient",https://discogs.com/release/29076685-Various-Music-For-Haunted-Asylums,,,
Arktinen Ahertaja*,Hibernation I,,,,,"style_exact, Ambient",https://discogs.com/release/29056813-Arktinen-Ahertaja-Hibernation-I-,,,
Victor De Roo,Live From Woodblocks,,,,,"style_exact, Ambient",https://discogs.com/release/29044015-Victor-De-Roo-Live-From-Woodblocks,,,
Sticks And Stones ,Brand New Age,,,,,"style_exact, Ambient",https://discogs.com/release/29029870-Sticks-And-Stones-Brand-New-Age,,,
